Test Number,,Code Results,,,,Manual Calculations,,,,,,
,,Time,Minutes Added,Output,,Hours,Minutes,AM/PM,Minutes Added,Result,,Correct?
1,,1:24 AM,10,1:34 AM,,1,24,AM,10,1:34 AM,,Yes
2,,11:44 PM,17,12:01 AM,,11,44,PM,17,12:01 AM,,Yes
3,,3:44 PM,1000,8:24 AM,,3,44,PM,1000,8:24 AM,,Yes
4,,12:00 AM,1439,11:59 PM,,12,0,AM,1439,11:59 PM,,Yes
5,,12:00 AM,1441,12:01 AM,,12,0,AM,1441,12:01 AM,,Yes
6,,2:08 AM,5000,1:28 PM,,2,8,AM,5000,1:28 PM,,Yes
7,,9:13 AM,200,12:33 PM,,9,13,AM,200,12:33 PM,,Yes
8,,9:13 AM,48,10:01 AM,,9,13,AM,48,10:01 AM,,Yes
9,,11:57 AM,719,11:56 PM,,11,57,AM,719,11:56 PM,,Yes
10,,11:57 AM,725,12:02 AM,,11,57,AM,725,12:02 AM,,Yes
11,,11:57 AM,2165,12:02 AM,,11,57,AM,2165,12:02 AM,,Yes
12,,10:12 PM,183,1:15 AM,,10,12,PM,183,1:15 AM,,Yes
13,,10:12 PM,229,2:01 AM,,10,12,PM,229,2:01 AM,,Yes
14,,1:59 PM,417,8:56 PM,,1,59,PM,417,8:56 PM,,Yes
15,,3:40 AM,-8,3:32 AM,,3,40,AM,-8,3:32 AM,,Yes
16,,12:01 AM,-3,11:58 PM,,12,1,AM,-3,11:58 PM,,Yes
17,,3:44 PM,-1000,11:04 PM,,3,44,PM,-1000,11:04 PM,,Yes
18,,12:00 PM,-719,12:01 AM,,12,0,PM,-719,12:01 AM,,Yes
19,,1:21 PM,-5000,2:01 AM,,1,21,PM,-5000,2:01 AM,,Yes
20,,1:21 PM,-5130,11:51 PM,,1,21,PM,-5130,11:51 PM,,Yes
